,b6_r1,b6_r2,b6_r3,tc_r1,tc_r2,tc_r3,tc_r4,tc_r5
1700024P04Rik,3.16587,3.38262,3.41089,3.2759,3.30733,3.3319,3.20303,3.23557
Mir3966,2.48884,2.67257,2.73643,2.67406,2.53345,2.85502,2.61047,2.80572
Olfr1168,2.1651,2.24496,2.36041,2.24635,2.41934,2.0261,2.23314,2.3535
Olfr303,3.86287,3.97336,3.89938,3.76808,4.01946,4.23246,3.90468,4.42094
Gm26522,2.54676,2.64028,2.68222,2.4892,3.02091,2.80505,2.45863,2.70938
Spaca1,3.90271,3.97456,4.04604,4.00912,4.05157,3.99488,4.25002,4.34176
Gm23180,3.7016,3.57883,3.81772,3.72549,3.86615,3.84378,3.86185,4.07374
Mir1953,4.95502,4.86321,5.26735,5.10591,5.12129,5.25033,5.36623,5.70116
Gm7984,7.81769,7.97259,7.76998,7.6564,7.74875,7.85657,7.54141,7.88827
1700007B14Rik,2.91653,2.70218,2.78792,2.84504,2.80382,2.96181,2.7962,3.17869
Gm5101,2.99272,2.83967,3.07445,2.97769,3.0756,3.30083,3.17022,3.19356
Gm16583,5.80741,5.91214,6.27365,5.7489,6.01778,5.97393,6.3173,6.64916
Fscn2,5.5855,5.43736,5.65589,5.3906,5.59266,5.68775,5.69482,5.89449
Cdk3-ps,5.30062,5.3365,5.41029,5.4254,5.49568,5.17616,5.54698,5.50271
Gm8787,2.03841,2.06498,2.17837,1.93945,2.17494,2.27181,2.06554,2.41304
Gm9167,3.98743,3.87619,3.90116,3.88839,4.0372,4.28821,3.97293,4.33436
Zfp820,5.10117,5.02542,5.35332,5.04864,5.3186,5.28866,5.14993,5.37133
4930515G13Rik,3.93386,3.76898,3.83301,3.92905,3.89792,3.80958,3.90732,3.88215
Rmnd1,6.31783,6.30117,6.28505,6.30965,6.35853,6.22748,6.12118,6.24121
Gm14087,8.4583,8.50955,8.75129,8.28171,8.45654,8.36839,8.55525,8.71593
Ccndbp1,7.57351,7.66548,7.55869,7.65037,7.5889,7.44886,7.43821,7.58652
Gm24596,9.9361,9.79246,10.3083,9.52211,9.95269,10.1965,10.2637,10.5006
Trim24,7.09465,7.24166,7.07901,7.17082,7.1971,7.01624,6.92661,7.15033
Dusp19,5.20568,5.24791,5.14201,5.40792,5.41121,5.17972,5.19311,5.44637
Gse1,7.3982,7.40003,7.25323,7.58941,7.51511,7.56471,7.49292,7.61361
Rxrg,4.91035,4.83085,4.83442,4.92403,4.97601,4.98049,4.98201,4.95899
Gdi2,10.0592,10.1954,10.178,10.061,9.92529,10.0363,10.0013,10.223
Olfml3,5.46603,5.32546,5.21528,5.24334,5.31024,5.32485,5.26707,5.43377
Hipk1,8.44808,8.5889,8.3482,8.59263,8.552,8.31232,8.4475,8.48082
Gm4760,6.18222,6.16959,6.11813,5.95111,6.10787,6.12546,6.23808,6.08467
Mir1941,4.32967,4.23509,4.50862,4.31306,4.43088,4.57078,4.44599,5.08519
Rfc3,4.87698,4.92175,4.82137,4.88419,4.78535,4.80932,4.80755,4.97934
Spats1,4.21975,4.17903,4.08657,4.19401,4.22912,4.43376,4.33558,4.34233
Gm21292,2.44634,2.31449,2.62295,2.42872,2.45374,2.46971,2.5573,2.3966
Ddx21,9.20778,9.31682,9.26156,9.24411,9.06133,9.17244,9.17883,9.34818
Ergic3,8.10336,8.14782,8.2351,8.19699,8.17227,8.11849,8.02826,8.18212
Traj35,9.06447,9.0681,9.10294,9.15827,9.17149,8.89784,9.02077,9.22636
Tmem150a,6.22683,6.3604,6.33971,6.22265,6.34438,6.25957,6.4136,6.4996
Ggcx,6.60602,6.74978,6.66582,6.74652,6.62578,6.58022,6.57392,6.64793
Rlf,7.31164,7.39176,7.33908,7.55903,7.33481,7.29053,7.39316,7.41198
Olfr202,3.20507,3.26903,3.34693,3.20428,3.04248,3.32706,3.03328,3.69496
Gm14356,3.51292,3.52646,3.60989,3.19743,3.3712,3.46825,3.60162,3.59033
Hgsnat,7.75593,7.9526,7.60293,7.08195,6.96074,7.1333,6.78152,7.02512
Gm15455,6.59345,6.55299,6.56156,6.57377,6.50827,6.37788,6.33789,6.76727
Gm15809,2.5163,2.43261,2.46021,2.44855,2.45228,2.29997,2.30712,2.79186
