Unnamed: 0,stat
Gm22669,3.54066
Gm13990,3.9188
Zfp781,4.30715
Kcnh3,3.64368
Lrrc8d,4.18004
Nmnat2,-4.97945
Cxcl3,3.53066
Ush1g,3.7679
Gm12910,-3.52851
5330439B14Rik,4.17954
Cask,3.83544
Trp53inp2,3.54733
Ppm1m,-3.53249
Gm25915,4.28594
Ttc36,-3.82054
Dll4,3.98163
Epb4.1l1,3.96589
Phlda1,3.7886
Gm9222,3.73842
Tti2,-3.84588
Rere,3.52801
9630041A04Rik,3.87202
Grap,-3.51209
Igkv4-79,-4.76864
Rasgrf2,-5.7655
BC018473,3.95798
Olfr1290,4.23089
Grik1,3.54986
Gm2862,-3.53566
Rpl27,4.88264
Vwde,3.91557
Igkv4-57-1,-4.44452
Gbp2b,4.04211
Arhgap18,3.52358
Npepl1,3.56572
Naaa,-3.54054
Mllt4,4.28807
Slc52a3,-4.12001
Uroc1,3.73445
1700031P21Rik,4.19356
Tlr9,5.24332
Gm15195,-3.54216
Mustn1,-3.64073
Gip,3.51039
Dmwd,3.51714
Topbp1,-3.64098
Gm7221,-3.50786
Gm11557,4.148
Pax3,3.58829
Gm11723,3.61098
Disp1,-3.52311
Dclk1,4.11632
Kat6b,3.60216
Spag1,3.56861
Gm5593,-4.93869
Gm12860,3.5596
Gm20917,5.59647
Tnk1,3.48736
Gm5335,3.56792
Rnf122,3.83533
Itga4,-3.77189
Crybg3,3.53389
Gm5763,3.98297
Gm23221,3.68861
Ldha-ps2,-3.75208
Gm20540,4.07426
Ighv4-1,-4.0339
Zfp626,-3.65287
Bcor,3.88548
Gm24434,3.51287
Gm22966,3.75193
Kremen1,3.5167
Gm3242,-3.52736
Plk1,-5.80406
Harbi1,3.66925
Gm8919,3.46651
Lyrm5,-3.48759
Btaf1,-3.49979
Gm14831,3.6233
Mir6403,3.64811
Rel,3.45045
Tspan13,-5.44069
Avil,3.70152
Ctsf,-3.87954
Fam214b,4.07701
Kif20b,-3.97254
Gm23906,3.81359
Gm17160,3.56669
Muc2,3.44534
Efnb2,4.05329
Xrn2,-3.59609
Dcaf13,-3.51894
B230104C08Rik,3.44621
Gm20751,3.48374
Rpl36al,-3.46598
Gm13808,3.4407
Gm11913,4.30249
Irf4,-3.4413
Clcnka,3.67169
1700037C06Rik,3.62202
Olfr636-ps1,-4.85664
Gm7461,5.10393
Vwa3b,3.99041
Amd-ps3,-3.76815
Abca5,3.47368
Gm5464,3.43998
Igh-VJ558,-4.27306
Gm15687,3.43025
Dock2,-4.51048
Aldh2,-3.43029
4933412E12Rik,3.46779
Gstm1,3.96059
Kpna2,-4.2957
Stmn1,-3.83301
Ptf1aos,3.51459
4930452B06Rik,3.79542
Irg1,3.67793
Gm16440,-3.72193
Abcb1b,-3.42008
Clcn4-2,-3.42413
1700024B18Rik,3.70112
Fgf5,3.79183
Tctn3,3.43368
Ldhd,3.57864
n-R5s21,3.4142
Rpsa-ps12,-4.02993
Gm12850,3.41303
Gm11531,-3.99397
4930542C12Rik,3.40806
Tceal6,3.95237
Cts3,3.41412
Sostdc1,3.43356
Gm2244,-3.87499
9630028B13Rik,3.95447
Tacc3,-3.89016
Ablim2,3.41938
Gm1096,3.46722
Gm17162,3.41464
Ripk4,3.98446
Zfp523,3.62559
Gm3642,-4.03784
Ctla2b,-3.48375
Gm14106,3.49336
Gm14377,-5.45509
Camkmt,3.75083
Ccl27a,3.67541
Gm2383,3.58007
Fam169b,-3.56163
Gm5914,3.43291
D130040H23Rik,3.40039
Cast,-3.83302
Fam129c,3.70814
Hmgcr,-3.50338
St6galnac1,-4.18656
Enpep,3.38728
Gm23727,3.39511
1700073E17Rik,4.09044
Pkd2,3.90515
Il13,3.42956
Gm12847,-4.52996
Ect2l,3.85631
Ptk6,3.86895
C1rl,3.52027
Gm10036,-3.42434
Ephx4,-3.38886
Mir344d-2,-3.49355
Gnaq,3.85126
Gm19733,3.98227
Synpo,3.58375
Rrm2,-3.98399
Ldb2,3.40947
Tiam2,3.92726
Magea5,3.42085
Shmt1,-3.88343
2810047C21Rik1,-3.50623
Gm26977,3.45819
Tekt4,3.37101
