,padj_TCTnvsB6Tn,padj_TCTfhvsB6Tfh,padj_B6TfhvsB6Tn,padj_TCTfhvsTCTn,log2FoldChange_TCTnvsB6Tn,log2FoldChange_TCTfhvsB6Tfh,log2FoldChange_B6TfhvsB6Tn,log2FoldChange_TCTfhvsTCTn
Txnrd1,0.0010787560000000002,0.008712368,5.13e-13,3.06e-08,-0.245456183,-0.20991418399999998,-0.46609955799999997,-0.430557531
Gsr,0.143790836,0.11212638300000001,8.35e-06,0.000321432,0.0,0.0,0.289067725,0.284976929
Apex1,1.3e-07,1.04e-05,3.26e-14,1.99e-08,-0.496995251,-0.453050844,-0.63117952,-0.587235071
Hmox2,8.269999999999999e-16,0.000734634,0.024023586,0.044290427,-0.635454923,-0.281508143,-0.167730881,0.186215928
Hyal2,1.29e-07,4.8899999999999996e-05,1.35e-08,3.17e-09,-0.906561883,-0.6136558910000001,0.749280272,1.042186316
Hnf1a,,,,,0.0,0.0,0.0,0.0
Cyp1b1,,,,,0.0,0.0,0.0,0.0
Tsc1,0.00482499,0.0005197040000000001,0.5400071479999999,0.998118818,0.214791452,0.261468987,0.0,0.0
Egln1,0.0006994039999999999,0.018262393999999998,0.083863547,0.577136349,-0.312035605,-0.22908795,0.0,0.0
Psip1,0.939117912,0.011366787,0.001273493,0.778374762,0.0,0.107011527,-0.11681316300000001,0.0
Abcd1,0.650094152,0.19317099899999998,0.000353915,0.035697948,0.0,0.0,0.257204644,0.18731745600000002
Melk,0.029731179,0.049349659000000004,5.21e-12,1.99e-08,-1.414723278,-0.8019535109999999,2.5954940619999998,3.208262962
Axl,0.020440838,0.058449537999999995,2.989999999999999e-132,6.189999999999999e-94,-0.8066283809999999,0.0,5.870643695,6.153495542000001
Traf2,0.605409082,0.09381308599999999,6.24e-20,2.37e-07,0.0,0.0,0.516236225,0.35019616200000003
Prdx1,6.59e-47,2.26e-49,3.94e-06,0.000388803,-0.854845939,-0.863525573,0.24846922100000002,0.239789604
Wnt1,,,,0.589708979,0.0,0.0,0.0,0.0
