"","II_SC_1_Tcells","II_SC_2_Tcells","II_SC_3_Tcells","II_SC_4_Tcells","II_SC_6_Tfhcells","II_SC_7_Tfhcells","II_SC_8_Tfhcells","II_SC_9_Th1cells","II_SC_10_Th1cells","II_SC_11_Th1cells","II_SC_12_Th1cells","II_SC_13_Th17cells","II_SC_14_Th17cells","II_SC_15_Th17cells","II_SC_16_Th17cells"
"15(S)-Hydroxyeicosatrienoic acid",-0.0721216169406842,0.412271817021062,0.249581892657319,0.229472371932021,1.05948281225981,0.159545891207566,-0.313236913120914,-0.207198738346433,-2.04371168404241,-2.06513541143972,-0.649188717172462,1.3912244287345,0.290616991039588,0.376940706799715,1.18145616941107
"N-Acetylneuraminate 9-phosphate",-0.348941261081525,0.937360454095989,-0.112489045109343,-0.559280658975965,-0.856585195510896,-1.91263255852714,0.780848046138431,-0.830198856643912,-0.401900881063787,-0.441224239971339,-0.61754790338328,1.24725062031682,1.58814965732652,0.0558841108991663,1.47130771149028
"(R)-S-lactoylglutathionate",0.808721956835851,0.427842523905381,0.590860877112832,0.0139164664040112,1.01212473831203,0.816871881337735,0.396981609250776,-0.114327647682476,0.605296804723938,0.46472144034233,0.304279875155665,-2.5862179274282,-1.20584102470173,-0.0764979448040827,-1.45873362876407
"UDP-alpha-D-xylose",1.30739356034361,1.05625025654685,-0.0767909241674498,1.00308057200814,1.01787347242291,1.02888046475697,-0.629278963637987,-0.883030616899269,0.401433791928688,0.599052129841079,-0.14477161545109,-1.37280139057524,-1.6065278556285,-0.381441396467687,-1.31932148502099
"ADP-ribose",-0.305855191071778,1.02181627509174,0.958476049809091,1.30138617061188,-2.4557303515035,-1.07605811488324,0.823007382794878,0.618514194539126,-0.417001552479054,-0.490457708914753,0.741131578892581,0.129465512130544,-0.0319251219700802,-0.994301237933522,0.17753211488608
"UDP-D-glucuronate",1.31163779420604,0.629317673662941,-0.680037811109615,0.835169864986997,0.988682952069912,0.97019173263354,-1.28083417858425,-0.19964521580044,-0.209651508800647,0.594635418076936,0.443896036409929,-0.713981756505168,-1.96921706062746,0.610215018661642,-1.33037895928034
"GDP-D-mannose",1.01771309363302,0.816221911313898,0.293459707302126,0.824647354089994,1.17878131596841,1.23042037733817,0.599209980694746,-0.19542794819664,-0.243065453101955,-0.0198548426750293,0.108826733686468,-1.38969115324266,-1.792737705161,-1.03273993527107,-1.39576343637848
"NADH",1.29785881635967,0.823673030757209,0.795202266758421,0.565507761587909,1.97796814130642,0.448075334814891,-0.0485737642270691,-1.24787325445805,-0.103557542445281,0.175529855981839,-0.775464644622552,-1.27478827861751,-0.549256717357356,-0.674387490953157,-1.40991351488539
"NADPH",1.23768718966053,1.02438362556594,0.789217582874873,0.788640805184431,-1.31577085810701,0.373887508600446,0.423348285321721,0.165998979000548,0.629368917205131,0.816041567289494,0.330279829831906,-1.31577085810701,-1.31577085810701,-1.31577085810701,-1.31577085810701
"glycochenodeoxycholate",0.748186377745535,0.791842228984787,0.735739447089243,0.769427871482259,0.665894840744557,0.746143668122877,0.585468502242093,0.494555732142874,0.157403433933723,0.224439223398472,0.296147095960292,-1.49226804828686,-1.22442309985023,-1.54496646044955,-1.95359081326008
"taurolithocholate",0.813107644228226,0.828553593135201,0.803685086496418,0.832535821695874,0.801622525266566,0.734020863322317,0.559951988722991,0.571105090847196,-1.62966398786515,0.242256262487201,0.333038107600671,-1.62966398786515,-1.62966398786515,-0.702909977401042,-0.927975042806168
"cholesterol sulfate",0.887224341099335,0.687770716675486,0.365710495104155,0.587781833548602,0.745688883791005,0.314266006332073,0.140624642900813,0.197759490910795,-3.28259179188773,-0.843219974656949,0.0924756895282817,-0.0556892468500139,-0.0913496068001675,0.0623398002358768,0.191208720068432
"C4H6O3(3)",1.15657745684208,1.10127832408202,1.17641904872306,0.773618765618867,0.190087455918191,0.749071451163553,0.317583323991842,0.269505039073355,0.301675057760106,-0.113253818051654,-0.185771526695338,-1.12144433468721,-1.49526052497983,-1.87395307379661,-1.2461326449624
"C4H8O3(3)",1.70612461915328,1.59322587891296,1.46976949989549,1.2218139813629,-0.290970061113102,-0.0367530362805451,-0.50518764876076,-0.142357103415109,-0.0230917428488131,-0.440558273277151,-0.709083268268703,-0.885247768883592,-0.683207630411727,-1.10774448346026,-1.16673296260491
"5-oxoproline/L-1-Pyrroline-3-hydroxy-5-carboxylate",1.03386050292213,1.01891881978633,0.951460719562639,0.942056189281113,0.885453113591199,1.00679422025103,0.608371435936699,0.618505941649093,-0.897015252129235,-1.52310883413004,-1.03817810842341,-0.91131292858022,-1.0019467230876,-1.04515143792725,-0.648707658702511
"itaconate/Mesaconate",0.853362400793338,0.614027796758108,0.392897472560147,0.378571296605399,1.39950862446655,1.51989701253446,1.05829394562473,-0.236106414772132,-0.136404811702848,-0.233470559700929,-0.348232984267693,-1.34601257232196,-1.27494137631342,-1.19314544977988,-1.44824438048387
"L-4-hydroxyglutamate semialdehyde",0.975964308588886,1.18543441180647,1.11917630600417,0.793270624599,1.04956314059171,1.21918651843489,0.816615936066966,-1.14827121493287,-0.888223145430692,-0.86346715466806,-0.835907246374426,-0.937342410172864,-0.730503140628555,-0.895509806450377,-0.859987127434182
"C5H10O5(6)",1.13575740384791,1.13628928181187,0.804642212429965,0.880305372935028,0.990026670218225,1.20788465647342,0.473765263878214,0.0454307784787937,-0.256570749751803,-0.968415723018464,-0.690823929941599,-1.46045699024191,-0.985992754445623,-0.965470784620443,-1.34637070805358
"L-arabinitol/xylitol/D-ribitol",0.531156558536181,0.402056792241191,0.284826859237258,0.18247590265966,1.30227591881711,1.47435669837077,1.01780834500341,0.340584295527284,0.06954203440974,-0.0338434946595224,0.20750173828552,-1.53521402528596,-1.35618591014363,-1.50148807223722,-1.38585364076176
"L-xylonate/L-lyxonate",0.455328648265506,0.696672073608353,0.490278741409079,0.444568329710413,1.18759779116511,1.40431994768208,0.961957607928883,0.229834463621174,0.127815955249396,-0.16376027608541,-0.0377709553933361,-1.43444690960134,-1.47920890953322,-1.2655817420983,-1.61760476592843
"2-deoxy-D-ribose 5-phosphate/2-Deoxy-D-ribose 1-phosphate",1.06423149980473,0.744347850001025,0.805321169140512,0.85285626939458,0.938734737425163,0.859299167364552,0.411679991487473,-0.0818119385179221,0.358849565306787,0.112947768974269,-0.0981319122577329,-1.60322237615928,-1.39871364425109,-1.30424049379359,-1.66214765391948
"ribose-phosphate",0.190475738782036,0.699050342375471,0.653828959664528,0.563224145886955,-0.129238589082463,0.380973827949162,0.302327195551295,-1.73557291214994,-1.14860054337588,-1.50902805228665,-1.33492138112241,0.757357225403646,0.861617788085579,-0.203472801948822,1.65197905626755
"3-methyl-2-oxopentanoate/4-methyl-2-oxopentanoate(ketoleucine)",1.54248269785398,1.73931599615525,1.3255624685658,1.49845052840503,-0.226798082219342,-0.076689089854978,-0.363409791591747,-0.265369157204291,-1.00049772118721,-0.904011474439853,-0.972076214630956,-0.264629837294392,-0.665444048103346,-0.931488210461588,-0.435398063992348
"L-fucose/L-Fuculose",0.656459377657558,0.427699115236645,-0.276932650489972,-0.514882642276936,-0.0632802619853534,0.211605481385998,-0.433964199787291,0.0607989990331854,0.172550881601643,-1.23667262960043,-0.903505701773688,3.11690756921074,-0.0299691125690042,-0.53093508184721,-0.655879143795835
"N-Formimidoyl-L-glutamate",0.169010491126222,0.183376701020385,-0.425190309496837,-0.666559758289107,-0.336966452322225,0.351024609948809,-1.08984839254542,-1.15428278291257,-0.838969316193126,-0.75454621263031,-1.1035217281317,1.52778366092514,1.47349086530244,1.26972245861384,1.3954761655844
"N-acetyl-L-aspartate/2-Amino-3-oxoadipate",-0.880427566708417,-0.949303345352409,-0.827551308003611,-1.09852196913739,1.84113144767043,1.86781182298875,1.65525774857096,0.359273994234893,-0.111314160959533,-0.279201707760036,-0.045061283794301,-0.373912009816143,-0.341460631059781,-0.374158079383518,-0.442562951489917
"3-Keto-beta-D-galactose/L-Gulonolactone",-1.26838215363286,0.191437040842294,-0.607892728412305,-0.396198248396681,1.77918560879024,1.73881586600199,0.99384367139866,-0.402099049976802,0.554081146914044,0.23217722052531,0.638667066985952,-1.3917318586208,-0.818593256036328,-0.20878082130865,-1.03452950507401
"C6H12O6(5)",0.528820446826821,0.473827791424392,0.292372063640885,0.077495998430739,1.58606312464668,1.84163103696197,1.47067243195786,-0.453952601788795,-0.621596457691443,-0.578992083186738,-0.587310849991876,-1.04671209372095,-0.965289576444486,-1.00322447759437,-1.01380475347074
"L-Iditol/D-glucitol/galactitol",-0.202186811878411,-0.233361927700914,-0.326799673806544,-0.506669157415426,-0.436308717867496,0.00556525440941142,-0.458152987551323,0.00591622094019849,-0.42086327213808,-0.698248827003836,-0.596712788868584,3.46489865384036,0.311881894531407,-0.0355184480928857,0.126560588602125
"3-dehydro-L-gulonate/D-glucuronate/L-iduronate",0.970391685520266,0.476662736518243,0.880749066225707,-1.1815821069286,-0.809734402848545,-0.542394993834066,0.0108062445252685,0.691496114639445,-0.0483871415737929,-1.63719674915931,-1.90296024183929,0.32903804179286,1.34670843190353,0.74084084664552,0.675562468412759
"gulonate",-0.376272974107316,0.0793907912270034,-0.109112247359949,-0.0401243254908855,1.57268731554218,1.92779269488493,1.17612625138143,0.179974208632925,0.214892711354723,-0.122332731728414,0.392481852623985,-1.23123353809307,-1.35045742667533,-1.18415300370673,-1.12965957848552
"Methylisocitric acid/2-methylcitrate",1.39459390165853,1.34208859094713,1.21508465776323,1.02641979700593,0.196480768305599,0.669228209053612,0.318185320101456,-0.0580989664311314,-0.323512610702581,-0.249320935378903,-0.309527658747202,-1.26045925445547,-1.49077636344681,-1.17335946426871,-1.29702599140464
"phenylacetate/(4-hydroxyphenyl)acetaldehyde",0.669956749626855,0.186653315650104,-0.0815881918901866,0.0159075172895669,-0.17969440288552,-0.281609236259399,3.34009224961652,-0.364120298901781,-0.369467152832047,-0.772803475153492,-0.548863871883779,0.0288122260359977,-0.469168561265929,-0.873252362421634,-0.300854504725274
