compound name,II_SC_1_Tcells,II_SC_2_Tcells,II_SC_3_Tcells,II_SC_4_Tcells,II_SC_6_Tfhcells,II_SC_7_Tfhcells,II_SC_8_Tfhcells,II_SC_9_Th1cells,II_SC_10_Th1cells,II_SC_11_Th1cells,II_SC_12_Th1cells,II_SC_13_Th17cells,II_SC_14_Th17cells,II_SC_15_Th17cells,II_SC_16_Th17cells
glutaryl carnitine,5260167.201,5210777.202,4961258.637,5066468.121,4132443.072,6579786.633,3073103.673,3675671.325,1445260.044,1672862.118,1942403.691,158731.293,318829.002,259929.612,286526.619
octenoyl carnitine,249283.572,274587.267,185350.101,296041.401,122060.34,89616.384,33155.637,249383.79,236565.738,272236.122,350607.951,258080.712,208083.573,226352.439,282465.411
octanoyl carnitine/L-Octanoylcarnitine,1255230.567,1270926.834,1186161.21,1233680.967,616871.307,610253.193,451518.915,1119818.967,1288161.753,1217955.027,1295714.796,2267953.518,2363298.423,2353523.886,2593603.761
decenoyl carnitine,18265.857,63830.586,24697.71,48321.645,7947.534,21790.5,8161.524,34752.432,10396.053,5508.594,26050.59,58999.569,22554.864,67731.609,53814.444
decanoyl carnitine,726536.823,809889.813,672672.291,707518.587,314210.352,277676.07,209429.889,620783.043,587201.334,579691.668,600902.121,1125227.832,809183.544,1088898.159,1140052.665
tetradecenoyl carnitine,7423834.725,2030471.679,7872698.547,1547745.912,1636934.304,4592413.257,6616381.782,1896937.086,8214407.115,7147019.427,4553323.794,3462821.241,5381077.005,3262047.999,4870428.15
pendtadenoyl carnitine,1570281.78,1722865.542,1378622.883,1487864.82,1079534.274,993668.88,802073.709,1931407.098,1730906.082,1607834.343,1517197.122,3496817.298,3230172.708,3165762.159,3590159.553
L-palmitoylcarnitine,50311368.27,59837770.85,55093645.73,44590773.43,42704891.88,44255631.02,33371968.99,82005608.67,76403239,69617906.85,62149657.4,161034730.6,152102956.1,148934607.1,178954214.5
3-hydroxyhexadecenoylcarnitine,13335408.09,4373469.381,15466158.96,3558392.415,3368233.785,9868266.678,11094837.96,4272741.732,16565724.78,15900178.37,9206155.728,9021840.63,11919222.24,7465632.084,10417463.41
3-hydroxyhexadecanoylcarnitine,1144206.714,1345531.806,1167345.054,1063277.937,255175.293,301512.288,216653.49,641860.425,511997.766,484779.096,505835.091,994094.73,826993.407,853912.818,935302.923
heptadecanoyl carnitine,1177739.841,1279575.567,1097617.923,1143700.656,1004495.184,1113754.821,798162.873,2010268.77,1800039.321,1664457.621,1682248.953,3368141.052,3080178.918,3141790.185,4018573.128
stearoylcarnitine,3216891.192,3827370.513,3430293.081,2968393.536,5142425.865,5585820.507,4513735.953,11502433.04,10193228.59,8905328.568,9051670.266,15982471.7,17768161.17,16740902,22065953.31
tetradecanoyl carnitine(myristoyl carnitine),23089504.83,27625911.99,23894549.86,21391811.84,14459026.96,14023091.36,10537022.54,29344751.11,27628494.61,25830976.47,23104688.9,39115227.81,34134510.89,34337581.1,41647036.8
trans-Hexadec-2-enoyl carnitine,15574792.72,18135245.45,16014111.38,14087718.28,8558715.6,8543158.596,6244973.775,15489933.35,13630670.2,13577378.98,11797929.64,21216889.02,17195940.59,17628450.81,21531186.16
alpha-linolenyl carnitine/gamma-linolenyl carnitine,60619.458,117830.451,69049.254,80327.103,47323.824,49719.021,37620.534,104763.864,73315.068,66122.88,75853.251,155715.015,101254.623,111819.534,186267.72
Linoleyl carnitine/Linoelaidyl carnitine,1006812.99,1239318.111,1018212.645,1032139.464,711390.39,709732.035,457395.813,1093309.758,1072188.618,1085904.111,858351.303,2495411.286,1903961.076,1993739.928,2670267.555
Elaidic carnitine/Vaccenyl carnitine,32357177.99,38693891.5,35486982.55,30299279.63,28547017.11,29356540.07,21727526.97,46778150.35,42290236.28,38710540.72,35079555.71,61334872.82,53435222.94,54287110.61,67620313.91
lauroyl carnitine,2572750.767,2993897.313,1814531.754,2504904.435,1384288.182,1092873.276,790633.629,2844783.939,2129893.512,2229129.771,2287972.56,4506546.858,1776048.36,3694929.471,4749357.888
1-methylpyrrolinium,16156987.83,638242.482,15846306.52,14141234.21,11452110.55,13569808.46,11194326.91,9317555.505,7556837.298,5652773.007,6900874.902,10659768.99,10460097.26,8954880.18,11221198.98
glycine,52917109.76,51953399.85,52596241.86,49740149.84,47865742.53,47353406.35,48192049.25,15382742.12,18564555.05,16186101.94,15733360.84,26581644.85,33566956.16,29284165.76,27215342.61
sarcosine,123203304,126391847.1,127575738.4,120841767.1,123280968.1,125504810.7,134361192.9,90321846.27,95912410.05,100402877.5,98070609.02,74942510.44,80839640.97,76907975.09,77591618.56
