X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1700041G16Rik,12.26541159,0.064545973,0.483484112,0.133501745,0.893796584,0.937908945
1700042O10Rik,1.497730605,-2.614472935,1.658572318,-1.576339425,0.1149476,NA
1700047K16Rik,1.007943596,1.031955912,1.766060636,0.584326433,0.559000711,NA
1700048O20Rik,20.6998592,0.195012964,0.381104476,0.511704733,0.608857673,0.743224975
1700049G17Rik,130.1678671,-1.591280538,0.191031205,-8.329950785,8.09E-17,5.34E-15
1700051O22Rik,0.415052116,-0.284851275,2.860528846,-0.099579934,0.920677825,NA
1700052K11Rik,120.3662572,-0.087087718,0.168328662,-0.517367138,0.604899895,0.740724158
1700055D18Rik,8.719418461,0.916233985,0.59847737,1.530941738,0.125783793,0.238324032
1700056E22Rik,47.47471128,2.913855448,0.313843801,9.284412943,1.63E-20,1.57E-18
1700056N10Rik,25.13478633,1.668663247,0.392956893,4.246428239,2.17E-05,0.00014997
1700057G04Rik,0.766518069,2.351479609,2.057244019,1.143024156,0.253028562,NA
1700057H21Rik,0.288244534,0.429297025,3.688036438,0.116402599,0.907333476,NA
1700061F12Rik,1.647089591,1.441679211,1.50099798,0.960480447,0.336813467,0.496895913
1700061G19Rik,0.419784538,-0.290216615,2.851355107,-0.101781996,0.918929716,NA
1700063D05Rik,19.03572299,0.814167528,0.491950582,1.65497828,0.097928904,0.196500126
1700064H15Rik,0.412048424,-0.293975108,2.866805027,-0.102544507,0.918324488,NA
1700064M15Rik,0.593873331,1.911725888,2.225886627,0.858860404,0.390417537,NA
1700065D16Rik,1.118011507,-0.138394544,1.711239341,-0.080873867,0.935542263,NA
1700066B17Rik,0.549391007,-0.885636182,2.64106836,-0.335332548,0.737374244,NA
1700066B19Rik,16.12170244,-1.057481583,0.472783137,-2.236715947,0.025304911,0.06602436
1700066M21Rik,313.7957949,-0.103261,0.10722096,-0.963067293,0.335513754,0.495525228
1700067K01Rik,8.294498721,0.686677896,0.635448981,1.080618455,0.27986687,0.43662325
1700073E17Rik,0.274882453,0.429296475,3.749416844,0.114496865,0.908843931,NA
1700082M22Rik,0.430516826,1.276660069,2.774417248,0.460154315,0.64540546,NA
1700084C06Rik,3.072170343,-0.527817256,1.009663773,-0.52276537,0.601137541,0.737479448
1700084E18Rik,6.700866708,-0.452912492,0.737682537,-0.613966671,0.539237351,0.688332078
1700086O06Rik,9.102130035,-0.453793472,0.647595523,-0.700735962,0.483467809,0.639583417
1700086P04Rik,0.812471016,-1.609365214,2.115299992,-0.760821264,0.446763832,NA
1700088E04Rik,1.398665675,-1.402181925,1.682904909,-0.833191416,0.404736783,NA
1700092M07Rik,3.494961263,0.620793315,0.920550079,0.674372128,0.500074758,0.654478754
1700093J21Rik,0.742855042,0.103635022,2.43106489,0.042629476,0.965996898,NA
1700094J05Rik,0.301980513,2.026866682,3.773373007,0.537149833,0.591164121,NA
1700096K18Rik,32.58432872,-0.199701877,0.33549785,-0.595240406,0.551682785,0.697647582
1700097N02Rik,27.77543393,-0.118371359,0.426760514,-0.277371863,0.781494584,0.867430634
1700101E01Rik,7.487116536,-1.354896351,0.684139465,-1.980438813,0.047654242,0.11002666
1700101I11Rik,0.772796147,1.293029212,2.421622153,0.533951678,0.593374967,NA
1700102P08Rik,27.04140276,0.359544554,0.354660207,1.013771906,0.310691604,0.469505275
1700104B16Rik,1.065063549,3.843469861,1.928457758,1.993027767,0.046258407,NA
1700105P06Rik,0.694116482,-1.300997906,2.218674741,-0.586385143,0.557616726,NA
1700106J16Rik,0.447615496,1.336161273,2.747181232,0.486375364,0.626701054,NA
1700108F19Rik,0.718241713,2.273220583,2.322637856,0.978723643,0.327716547,NA
1700109H08Rik,115.5222952,1.952906507,0.238122584,8.201265383,2.38E-16,1.50E-14
1700110C19Rik,2.219158398,-0.9929926,1.163377139,-0.85354316,0.393358164,0.554500813
1700110K17Rik,0.400245981,-1.828001974,3.303579694,-0.553339754,0.580030784,NA
1700112D23Rik,0.576312456,0.569669363,3.003468869,0.189670474,0.849567359,NA
1700113A16Rik,35.79157483,-0.514671983,0.326513274,-1.576266642,0.114964366,0.22284064
1700120B22Rik,0.833277017,0.559493244,2.334903012,0.239621621,0.810623602,NA
1700120C14Rik,8.471751366,-0.089977685,0.629286866,-0.142983574,0.886303154,0.932432417
1700122E12Rik,0.868769079,-0.30547139,2.076883932,-0.14708159,0.883067621,NA
1700123M08Rik,15.38955393,0.225126346,0.533477335,0.421997957,0.673026509,0.790262496
1700123O20Rik,655.5694513,-0.32949069,0.081986353,-4.018847978,5.85E-05,0.000357381
1700124L16Rik,7.097889435,1.133685056,0.832864304,1.361188191,0.173454225,0.306147766
1700125G22Rik,0.299540626,0.429297455,3.639323798,0.117960775,0.906098738,NA
1810006J02Rik,160.2339304,0.382027395,0.201897399,1.892185819,0.058466227,0.1296822
1810008B01Rik,0.543676734,-0.870864035,2.364425275,-0.368319542,0.712634983,NA
1810009A15Rik,23.09440755,0.045021111,0.394607449,0.11409088,0.909165751,0.948207485
1810009J06Rik,9.536532653,-1.600704271,0.777012288,-2.060075878,0.039391288,0.094486822
1810010H24Rik,7.352152613,-0.419319092,0.687954799,-0.609515469,0.542182823,0.690887884
1810011H11Rik,25.34377898,0.361633651,0.417078185,0.867064413,0.385906718,0.547685259
1810011O10Rik,0.696484027,-0.086944423,2.864703893,-0.03035023,0.975787737,NA
1810012K16Rik,2.859141182,0.861547282,1.134322975,0.75952555,0.447538236,0.605548887
1810013L24Rik,1301.466959,-0.047281622,0.068414558,-0.691104692,0.489499752,0.645094849
1810014B01Rik,42.99138426,-0.472102489,0.269066104,-1.754596667,0.079328322,0.166272267
1810019D21Rik,0.738775416,1.211329905,2.159632172,0.560896397,0.574868166,NA
1810019N24Rik,5.691256783,0.160439349,0.720464548,0.22268875,0.823777758,0.893600857
1810021B22Rik,8.870315431,-0.018435122,0.578689214,-0.031856688,0.974586339,0.985979064
1810022K09Rik,331.4157549,0.065395991,0.130503821,0.501104031,0.61629791,0.74851635
1810024B03Rik,17.95574054,0.448927055,0.420955471,1.066447845,0.286221243,0.443868935
1810026B05Rik,1458.286492,0.832077527,0.123709253,6.726073481,1.74E-11,4.97E-10
1810026J23Rik,879.8848718,-0.181509361,0.081799229,-2.218961767,0.026489326,0.068574808
1810030O07Rik,1527.517368,-0.078299959,0.056940415,-1.375120968,0.169093945,0.300519101
1810032O08Rik,193.7892983,0.041023997,0.129090106,0.317793503,0.75064158,0.845654774
1810034E14Rik,101.4689644,-0.393516,0.1855011,-2.12136747,0.033890891,0.08382094
1810037I17Rik,405.2471444,-0.21650716,0.116250964,-1.862411735,0.062545076,0.136972339
1810041H14Rik,21.33886438,0.78988858,0.385554145,2.048709864,0.040490494,0.096584612
1810041L15Rik,10.11855954,1.980919947,0.645400144,3.069289594,0.002145685,0.008240839
1810043G02Rik,210.0285215,0.016677646,0.145025978,0.114997644,0.90844699,0.947582107
1810043H04Rik,191.246622,-0.407366188,0.173146803,-2.352721388,0.018636592,0.051080446
1810044D09Rik,9.659465835,-2.841625327,0.749339841,-3.792171684,0.000149336,0.00081413
1810046K07Rik,4.590062956,3.32962817,1.235754542,2.694409007,0.007051358,0.022716282
1810049J17Rik,4.113356927,-0.538437394,0.867094807,-0.620967154,0.534621235,0.683798004
1810053B23Rik,0.305254899,0.429297661,3.615698908,0.118731585,0.905488013,NA
1810055G02Rik,150.9769549,-0.057428502,0.150998542,-0.380324876,0.703704272,0.811907023
1810058I24Rik,665.6754459,-0.340424694,0.099844203,-3.409558917,0.00065068,0.002947329
1810059C17Rik,0.675128433,-1.281157473,2.229128154,-0.574734777,0.565470683,NA
1810062G17Rik,13.76927301,-0.145013418,0.578857084,-0.250516789,0.802187723,0.879525347
1810062O18Rik,43.56322936,0.106689614,0.304627789,0.35022942,0.72616653,0.82879701
2010001A14Rik,45.76597465,-0.586951071,0.303435736,-1.93435051,0.053070047,0.119767103
2010002M12Rik,19.45302448,-0.821659365,0.483294117,-1.700122836,0.089107823,0.18248291
2010005H15Rik,11.17041798,-6.628697996,1.268560135,-5.225371515,1.74E-07,2.10E-06
2010007H06Rik,206.8887971,0.476086272,0.189609641,2.51087587,0.012043204,0.035577211
2010012O05Rik,81.89855859,-0.338677404,0.22244935,-1.522492212,0.127885795,0.241525355
2010013B24Rik,0.603712073,3.026599892,2.389446707,1.266653022,0.205279385,NA
2010015M23Rik,6.496191432,0.657252273,0.691533129,0.950427745,0.341894952,0.502237338
2010016I18Rik,7941.322416,0.1144531,0.111847589,1.023295188,0.306168298,0.464567464
2010107E04Rik,522.8391781,-0.51015367,0.109351646,-4.665258266,3.08E-06,2.68E-05
2010107G12Rik,7.740225606,-0.321998927,0.683369068,-0.471193301,0.637502702,0.765122859
2010107G23Rik,133.4903173,-0.462739073,0.210234544,-2.201061082,0.0277317,0.071338273
2010109A12Rik,5.254609275,0.931226908,0.841322065,1.106861388,0.268353862,0.423222213
2010109I03Rik,75.53015292,-0.441590139,0.314743703,-1.403015006,0.160612364,0.288052028
2010110E17Rik,0.716556443,0.074757054,2.485093295,0.030082192,0.976001503,NA
2010110K18Rik,1.429976512,0.005079431,1.473204002,0.00344788,0.997248995,NA
2010111I01Rik,712.3755001,0.184892308,0.083169861,2.22306863,0.026211173,0.068060474
2010204K13Rik,12.93484678,-0.365182514,0.512036168,-0.713196718,0.475724037,0.633184235
2010300C02Rik,66.32715446,0.63911595,0.261052668,2.44822608,0.014356154,0.0412383
2010300F17Rik,1.414335191,-0.606039185,1.500858053,-0.403795138,0.686363372,NA
2010310C07Rik,0.279526569,0.429296672,3.727594451,0.115167215,0.908312584,NA
2010315B03Rik,510.0027139,-0.053522158,0.110534003,-0.484214413,0.628233709,0.757863187
2010320M18Rik,44.53095367,-0.268398311,0.275410916,-0.974537666,0.329789647,0.489621437
2200002D01Rik,18.2102803,0.366969279,0.423508942,0.86649712,0.386217605,0.547930943
2210008F06Rik,0.72705376,1.156566133,2.413461999,0.479214561,0.631785996,NA
2210010C04Rik,2.747223757,-1.41845754,1.217738047,-1.164829779,0.244087902,0.394448022
2210011C24Rik,9.661692405,-0.596833512,0.564939904,-1.056454868,0.29076045,0.448391796
2210013O21Rik,289.1344182,-0.448782772,0.11781102,-3.809344584,0.000139336,0.000765913
2210015D19Rik,156.4625592,0.231111996,0.154052842,1.500212474,0.133559373,0.249872105
2210016F16Rik,874.8762669,-0.315530222,0.080351583,-3.926870015,8.61E-05,0.000501472
2210016L21Rik,618.4870449,-0.063738827,0.082393705,-0.773588555,0.439174142,0.59804676
2210018M11Rik,1693.043879,0.37457045,0.075363274,4.970198779,6.69E-07,6.89E-06
2210404O09Rik,282.4103229,0.062442056,0.112454456,0.555265289,0.578713217,0.720080205
2210406O10Rik,1.133901781,0.574328507,1.717463847,0.334405005,0.738073963,NA
2210408F21Rik,20.23171422,-0.701140996,0.419993731,-1.669408243,0.095036501,0.191809269
2210408I21Rik,35.4515492,0.549762935,0.319969585,1.718172481,0.085765159,0.177027658
2210417A02Rik,27.15021596,-0.379099551,0.332893621,-1.138800889,0.254786211,0.407227875
2300009A05Rik,133.0724262,-0.387683944,0.155067122,-2.500104083,0.012415682,0.036514822
2310001H17Rik,1979.975517,-0.134202339,0.080061825,-1.676233823,0.093692401,0.189770655
2310002F09Rik,7.696250063,-1.440426465,0.673101043,-2.139985491,0.032355939,0.080803498
2310003H01Rik,468.9295269,-0.159063414,0.09766361,-1.628686605,0.10337938,0.205210778
2310009A05Rik,159.9868749,-0.126301547,0.160401861,-0.787406988,0.431043657,0.5898998
2310009B15Rik,43.92574865,-0.26660443,0.308114832,-0.865276196,0.386887213,0.548636279
2310010G23Rik,5.781798734,-0.836873417,0.782990715,-1.068816526,0.285152351,0.442729221
2310010J17Rik,35.16093752,-0.521106186,0.31276204,-1.666142686,0.095684998,0.192897852
2310011J03Rik,622.6109079,-0.704645698,0.114721025,-6.142254208,8.14E-10,1.71E-08
2310015A10Rik,1289.73745,0.013410193,0.133828547,0.100204277,0.92018215,0.95506346
2310016D23Rik,11.51188669,0.602803796,0.506131998,1.19100116,0.23365313,0.382166768
