"","B6.6","B6.7","B6.NT","TC.1","TC.5","TC.7"
"Srd5a1",1.93836662132647,1.93838442690958,1.93838088484613,1.94017234077661,1.95540011157075,1.93839092200199
"Nsun2",12.9083741800485,12.6953535152233,13.0918643048694,12.6783628803465,12.8991882949019,12.8461455546059
"Med10",11.6669963913874,11.7654082390386,11.7175087700858,12.0740036464996,11.8837441457562,12.0044852218549
"1700100L14Rik",2.11953757678361,2.11955779244562,2.14089493032817,2.11955646853587,2.11955165358019,2.11956516662599
"Ice1",11.1614515823219,11.0294177273138,11.2681168181934,10.895049736098,10.8645729454508,11.1714762763496
"Irx2",0.737738863215242,0.736841073088898,0.737671481484505,0.739522489233521,0.738402683312974,0.739039376259163
"Ndufs6",10.9019587266485,11.3934697776306,11.2282161731654,11.5950437453237,11.3990161790258,11.3533048965699
"Mrpl36",10.8723663973235,11.5751193897595,11.3025051557454,11.5636381743906,11.3016188374325,11.3159805542786
"Lpcat1",11.6941843739277,11.7875159830447,11.9784737856826,11.5267361012884,11.6337084357841,11.6282621873456
"Clptm1l",13.2203288584651,13.3430090643924,12.9506339868701,13.0033662147911,13.0898547980972,13.1755969808842
"Tert",9.07211167371608,8.99094537304036,9.23788965488164,9.17342879270572,8.86607727702594,8.91659475817453
"Slc12a7",13.1018352899806,12.217454741218,12.8773614209777,12.1750996166927,12.7946859875598,12.5573439661577
"Nkd2",-1.09554516713801,-1.09591390092535,-1.09595439390834,-1.09443186568358,-1.09597757760768,-1.0958492351859
"Trip13",5.97725164084733,6.03972656799059,5.97147892344356,6.02989919914207,6.06716616128491,6.05995025689455
"Brd9",11.4942978986056,11.5492502859051,11.7230061707775,11.5845879419655,11.5400704225108,11.464480309971
"Cep72",7.30139189466225,7.30247045161386,7.3032638443051,7.63919012733902,7.63880165560546,7.56810471138237
"Exoc3",11.9704183673706,12.0720587530691,11.6513235750514,11.8719184200663,12.0151095970607,11.9808453802837
"Ahrr",6.54713308942996,6.49465871233545,6.74069198654361,6.49661281852632,6.53677990919893,6.64379032395736
"Pdcd6",11.6804719438987,12.101594312508,11.643372398087,12.0929071429095,12.0215399546153,12.1302410656799
"Sdha",14.6317976610933,14.5209156154551,14.430718046216,14.2665335255207,14.4478166733471,14.49526799501
"Ccdc127",10.4475848667224,10.5565010241365,10.4932588116368,10.5088597298473,10.4487619344164,10.6999143946573
"Lrrc14b",3.84181112264474,3.84187846834591,3.88176380635846,3.87273228150588,3.84185801838362,3.84190303247726
"Zfp72",6.133734753871,6.08270860658763,6.18273138533903,6.08268680842778,6.14146312682861,6.21510207153901
"Zfp825",8.70572843526205,8.84615475654089,9.06636193759909,9.11490784943452,8.90573101217579,9.00007536065725
"Erap1",11.9750073509543,12.0002964513351,11.4033897069388,11.8963558655712,11.8971356578583,11.7801382116315
"Cast",12.9883534960914,12.9261487019353,12.7206962162883,12.7593876916307,13.0509845231663,12.9177213576839
"Pcsk1",7.02440827429082,7.01116225864236,7.00190801842119,6.86704314366493,6.92391301939331,6.9769742379336
"Mir682",8.64412841120367,8.66907035918853,8.66209741168668,8.81430257244928,8.71882375997616,8.73985944784259
"Ell2",9.05595190910027,8.86051766992583,8.94642392745629,8.78675946892154,8.73205875399672,8.81838284740923
"Glrx",11.5238701499666,11.5791374619176,11.9323209361344,11.9565956383107,11.7885428385665,11.8610948479761
"Rfesd",9.81003460782773,9.82327838449947,9.74304922467148,9.86247923993694,9.57758886974226,9.66966221462482
"Arsk",7.58900113085152,7.64038827066603,7.73430941778647,7.51850122173814,7.66608486128857,7.61255904605364
"Ttc37",9.16734890099722,9.20806124039266,9.23930068801778,9.09614597574242,9.40016503745337,9.42550082016289
"Mctp1",5.60591111310952,5.80365121676916,5.60605090166201,5.60516747212223,5.60510151764408,5.66929061370289
"Ankrd32",8.41291348351251,8.91827574419408,8.62387461289182,8.45987129414113,8.64203991544319,8.32971943837011
"2210408I21Rik",6.02754230997444,6.11017177542364,5.9883532665875,6.01281620015797,6.02976900339325,6.08184592579634
"Fam172a",11.6296246426905,11.3630475425533,11.7283567593955,11.8924468311001,11.8780790816299,12.1005859216212
"Pou5f2",3.08344443296026,3.08441329983179,3.08347619489953,3.11942193746746,3.08504139541315,3.08680053662144
"Arrdc3",9.90248541867435,9.76690384162702,10.0706406026183,10.5181514158932,9.97210329892313,9.9074530353733
"9330111N05Rik",0.3455208417968,0.345526729523321,0.345525558263775,0.34552634393257,0.351752873448005,0.345528877284112
"Adgrv1",5.862790972975,5.75693853587317,5.75763832668091,5.84142782819973,5.80315790428819,5.78471218059365
"Lysmd3",8.54930296102577,8.7754720913872,8.63797451040781,8.47619496482361,8.61829487180179,8.80238599939605
"Polr3g",9.28394539273944,9.05624576014541,9.22038834618126,9.3013280743249,9.0287268073584,9.13254159784727
"Mblac2",8.69787981392204,8.74339255630946,8.85030025391324,8.7526075746139,8.91153943299408,8.80520927586661
"Cetn3",11.1296543590538,11.2447583307243,11.2814176087564,11.5799869433906,11.4287425032752,11.4582291152133
"Mef2c",9.32430311745297,9.73717511062279,9.61991302147733,9.4493949647713,9.28288963150989,9.69372814374049
"Tmem161b",9.4683231648814,9.37883575208116,9.67919633149145,9.54939852986317,9.56705702841132,9.67264164894196
"Ccnh",10.8965255612989,11.1026639443933,10.8846871782053,11.2669442553958,10.9718437755104,11.0513361376427
"Rasa1",12.5864091182397,12.4557611473958,12.2337655452551,12.0503713552997,11.98582722371,11.8900209137843
"Cox7c",10.9751267188852,11.1543707269824,11.2631626726775,11.5166292260683,11.1496559901651,11.2373832817816
"Hapln1",-0.578109846631529,-0.578106721189872,-0.578107342932657,-0.57810692587354,-0.578107670291187,-0.574811068765809
"Vcan",-1.42897535798869,-1.42882894875991,-1.42886876674779,-1.42884159666019,-1.42889156398799,-1.42729538250829
"Xrcc4",9.24688397122249,9.41431790008433,9.29269468116322,9.4415763726047,9.50732457475383,9.50319856347629
"Tmem167",11.2620454191488,11.5551559167503,11.4029293556551,11.6849315130973,11.4406627360092,11.5417442661446
"Rps23",13.3782103922193,13.689487150052,13.6690281765804,14.251240199873,13.877107433357,13.9040472972588
"Atg10",8.71711690344162,8.83742179932445,9.04967872784784,8.94415343116891,8.96527731337695,8.96033271920279
"A830009L08Rik",2.84589880096749,2.81884610972223,2.82215751220199,2.81973789126247,2.81883618119762,2.8221445689378
"Ssbp2",11.4227316379364,11.3565918280031,11.291937401577,10.8789483080834,11.1434642616071,11.1130852105849
"4833422C13Rik",4.10101241542174,4.11984071752095,4.07543373564579,4.07293808603569,4.07840765018939,4.07297208487544
"Acot12",4.03762565960941,3.96121355576802,3.96119912830928,3.96120880613934,3.9611915318936,3.96124001073533
"Zcchc9",10.0913689962866,10.2518828605341,10.1526044420575,10.1611175479743,10.1145372120848,10.3605172336082
